108,549,-300,0,MoveLeft
83,549,-300,0,MoveLeft
88,549,300,0,MoveRight
113,549,300,0,MoveRight
138,549,300,0,MoveRight
163,549,300,0,MoveRight
188,549,300,0,MoveRight
213,549,300,0,MoveRight
238,549,300,0,MoveRight
263,549,300,0,MoveRight
288,549,300,0,MoveRight
313,549,300,0,MoveRight
338,543,300,-400,MoveRight
363,514,300,-318,MoveRight
388,491,300,-236,MoveRight
413,475,300,-154,MoveRight
438,467,300,-73,MoveRight
463,465,300,8,MoveRight
488,469,300,90,MoveRight
493,481,0,171,none
513,489,300,0,MoveRight
538,489,300,0,MoveRight
548,489,0,0,none
533,489,-300,0,MoveLeft
508,489,-300,0,MoveLeft
483,489,-300,0,MoveLeft
458,489,-300,0,MoveLeft
473,489,300,0,MoveRight
498,489,300,0,MoveRight
523,489,300,0,MoveRight
548,489,300,0,MoveRight
573,476,300,-383,MoveRight
598,448,300,-301,MoveRight
623,427,300,-220,MoveRight
648,413,300,-138,MoveRight
673,406,300,-56,MoveRight
698,405,300,24,MoveRight
713,411,0,106,none
713,424,0,188,none
713,444,0,269,none
713,456,0,0,none
738,456,300,0,MoveRight
763,456,300,0,MoveRight
788,426,300,-334,MoveRight
